2111 子時三刻妻有妨/妻配火命必姓張 子立水土方存保 父金母土母先傷
2564 命宮子息有前緣 丹桂飄香景色鮮 數定有三存裔澤 老來三子送歸天
2565 紅桃玉耦獻堂前 前定麟兒非偶然 賢閫年方十四歲 早年一子立堂前
2566 時分三刻定終身 命宮合主入公門 貴人相照小人忌 晚景康寧有福生
2567 三刻生人時最良 相偕父子入明堂 三冬有志魁多士 鐵硯磨穿姓氏香
2568 心存公正不言虛 原是人間大丈夫 重義輕財名譽美 端庄正直有規模
2571 綠水荷渠任自遊 鴛鴦配合妻屬牛 生逢七刻姻緣定 共枕同衾樂百秋
2572 二千五百數頭達 立命安身方細察 丹桂一枝出庭前 母年正交三十八
2573 折散同林路已迷 凄涼閨時夫前妻 瑤琴留待竇家女 偕老相莊福祿齊
2574 數定宮中子息宮 生育兒郎難養成 身世老來誰照料 除非外繼送泉靈
2575 一樹蟠桃結子紅 交枝丹桂倍玲瓏 妻宮二十六歲上 喜生賢子慶添丁
2576 三刻命中主還祿 命中金甲犯天神 拜辭父母離鄉井 男兒一戰立功動
2577 時辰三刻定英奇 刺股攻書尚待時 父折桂枝魁士子 喜君遊泮採芹池
2578 風天小畜定性情 為心淳厚心地平 常懷惻隱慈祥意 家葉源源有福榮
2581 一枕鴛鴦是夙緣 中宵錦帳擁郎眠 蘭房注定屬牛相 八刻時辰數在天
2582 丑月生人衣祿虧 奔波挫折早年時 成家白手從頭起 否去泰來有後期
2583 前配妻宮定要防 羅帷夜月剩凄涼 瑤琴欲奏須弦續 重得佳人呂姓娘
2584 命中子息耗星纏 膝下虛無亦可憐 老景欲招他氏子 姪男甥女哭靈前
2585 妻命行年三十八 此朝瓜結非虛話 從來合浦產明珠 生子定能期晚達
2586 三刻生人有藝才 方圓規矩待君裁 彫樑畫棟勞斤斧 師學工輸濟世來
2587 三刻數中文學奇 磨穿鐵硯費心思 泮池重使賢郎去 樂到天倫事可知
2588 淳厚平生少曲灣 人前座上不空談 浩然養得胸中氣 東海南山福壽看
2611 天火同人自不移 椿萱難得共眉齊 母親屬鼠黃泉去 嚴父屬牛受孤凄
2612 數中定命本由天 修得鴛鴦共枕眠 妻宮屬牛生一子 唱隨偕樂保安全
2613 赤繩查結到蘭房 月老姻緣千里忙 二刻生辰同命鳥 屬牛夫主畫眉長
2614 曉月金風照半城 蟬聲方歇草蟲嗚 生逢七月方初六 正注平生福祿榮
2615 二千六百數原嗔 手足宮中有二人 雁影排行分次序 分枝第一得仙根
2616 運行乙丑問吉凶 上五年內不安寧 若交下丑運宮內 機開去霧見光明
2617 己日乙丑時顯榮 福祿綿綿晚更成 壯歲早登龍虎榜 垂紳正笏拜皇延
2618 孟秋又過遍金風 人倚高樓聽鳥嗚 生辰閏七初六日 庭前丹桂正新榮
2621 父母宮中犯剋星 生成丑相注同庚 萱堂應早歸泉下 椿父福壽享遐齡
2622 配合姻緣數可憑 妻宮原是屬牛人 庭燧丹桂雙株立 二子崢嶸席上珍
2623 時分三刻定無疑 一對鴛鴦永不離 配就屬牛夫主命 南山比壽共齊眉
2624 鵲橋填造碧雲中 織女牛郎訊即通 問君生日安排巧 七月七日降人龍
2625 二千六百巽宮逢 手足鴿原數注清 一樹蟠桃結五果 排來第二是君名
2626 大去交來到丁丑 破財不免時常有 待交下去丑五年 上方有路任君走
2627 庚日丁丑顯貴人 臨門五福自天伸 袍添朱紫人爭羡 駟馬譏車作禁臣
2628 本是中秋白露天 何來鳥鵲集河這 生逢閏七初七日 結出奇花對客前
2631 二千六百遇乾宮 數遇觀爻內主凶 母命虎庚先剋去 屬牛嚴父振家風
2632 數注因緣自不論 牡丹春色結絲羅 妻宮牛相生三子 丹桂欣欣喜氣多
2633 生逢四刻更何愁 夫主良緣定屬牛 鷥殳和嗚偕卒歲 吹蕭雙跨到秦樓
2634 吉日定君誕降辰 涼風初到暑將零 七月初八來人世 落地靈胎鵲報欣
2635 昆仲七人數不移 其中必又主石皮 上有一兄下五弟 各待門戶別東西
2636 去行己丑欠享通 惹是招非利祿空 要得平宄諸事妥 須交下五丑中宮
2637 辛日己丑時喜逢 月宮丹桂手攀中 高車駟馬康庄道 賓友盈門耀祖宗
2638 變頤八數定生辰 秋景重來喜氣新 閏到七月初八日 高堂慈母育麒麟
2641 卦爻歸妹遇乾凶 屬兔母親主早終 父命屬牛安且樂 南山比壽正如松
2642 桃花柳絮各飛提 妻命屬牛配一雙 丹桂枝頭生四子 中庭歡樂福綿長
2643 時辰五刻定鴛儔 數注夫宮相屬牛 流水溝中紅葉拾 和嗚笙瑟百年悠
2644 暑去秋來夜漸長 金風吹送漸微涼 生辰七月初九日 紫鵲成群舞畫堂
2645 二千六百吉和凶 手足宮中各不同 兄弟八人君是二 石皮難免在中逢
2646 辛丑去程半不良 吉凶禍福判分藏 上五年中多不遂 若交下五保安康
2647 壬日辛丑時超群 筵中美酒宴瓊禁 手攀丹桂登雲閣 滿腹綸經拋地聞
2648 金風送暑更天清 景色家珍四壁嗚 生辰在閏逢七月 初九吉日產瓊英
2651 二千六百數逢空 堂上雙親有剋沖 母命屬龍先去世 屬牛嚴父享遐齡
2652 花開最好是三春 桃李紛紛柳色新 妻室屬牛生五子 傳家守義有天麟
2653 時分六刻定姻緣 綠水池中並蒂蓮 配合屬牛夫命好 相莊鴻案樂長年
2654 推送嬋娟月影來 孟秋天氣玉梅開 生辰七月逢初十 丹桂庭前酒滿杯
2655 花開棣萼草宜男 兄弟九人君第三 雖有石皮非一脈 不同生母數中參
2656 大去經行癸丑宮 五年癸去不享通 一交下五丑去上 時來依舊逞英雄
2657 癸日癸丑時性高 丈名如海逞英豪 蟾宮桂樹相攀上 一旦風雷動九宵
2658 金風吹起桂花開 孟月秋聲又一來 生逢閏七初十日 觀音送子下瑤台
2661 乾父屬牛福壽長 屬蛇慈母必先亡 二千六百數前定 造化難逃莫自傷
2662 人生前結太多緣 桃李充盈繞膝前 牛相妻宮生六子 枝枝雨露喜春風
2663 紅葉題詩水上流 絲羅從此得鷥儔 生逢七刻良緣定 枕畔夫君是屬牛
2664 時辰三刻定命宮 沖犯猖狂宿宿星 妻妾結褵還主剋 剩君半夜守孤燈
2665 手足宮中各自成 枯榮數定已分明 弟兄二個身居次 不是同胞一母生
2666 八字推來定提真 丑宮身命犯孤辰 命中注是空門客 半途還俗返紅塵
2667 丑時生出貴無疑 玉帶懸腰步御墀 累受深恩承厚賞 光前裕後啟宏規
2668 生逢三刻得沖融 喬力踰功道不窮 六脈全賃盤位定 先觀去水與來龍
2671 女命丑時身降生 興家立業助夫星 招來貴子門庭起 康太楨祥壽百春
2672 數中注定有能知 錦帳春風燕爾私 妻配屬牛真福命 養成七子並齊眉
2673 生逢八刻數中奇 夫主屬牛永不離 枕上鴛鴦長伴夢 幾生修得案眉齊
2674 三刻生人主娶遲 若須早娶必分離 中秋圓月光明好 未到其時則有虧
2675 兄弟五人最後人 生身不是一娘親 同枝連氣榮枯定 必有石皮在內存
2676 三刻生人格局清 五行科甲缺文星 騎馬彎弓曾慣得 堂堂軒冕武書生
2677 丑時生人是英雄 掌握兵權大國中 寶劍身懸兼佩印 天廚食祿更光宗
2678 時定知君三刻生 下通地理上天文 法冠頭頂增儀表 默念上元玉照經
2681 丑時女命主奔波 歷盡艱辛受折磨 家業中年不興旺 隨緣尚望老來皤
2682 鴛鴦斂翼在江濱 數注因緣果是真 妻命屬牛生八子 石皮中有在兒身
2683 燕語鶯啼甚可憐 無情風雨奈何天 剋夫重嫁屬牛相 芳衾從此許安眠
2684 三春時節種新瓜 到處還生遍野花 自已生來在二母 雖家前去喚媽媽
2685 將君八字細推尋 昆玉行中有七人 次序排來君是六 原來不是一娘親
2686 丑時命內有官星 每日官場近貴人 亦向公卿中列坐 榮華立足在朝延
2687 借光螢雪志希賢 折桂何曾又息蟬 今日入朝題柱筆 他年宇內使威權
2688 天生三刻注宮中 數定為人穰吉凶 好善瀰陀常日吟 其名有曰是齋公
2711 二千七百數中逢 父母爻藏內有沖 嚴父屬牛安且樂 母親屬馬命先終
2712 將君八字細推詳 妻小二年方妥當 相配鴛鴦同一枕 齊眉鴻案共相莊
2713 剋妻命注是前緣 未必鴛鴦便羡仙 弦斷亦須新接續 佳人彭姓正宜年
2714 籬畔菊花朵朵黃 滿圓丹桂發奇香 一門恩澤從天降 九月初六產洞房
2715 二刻生逢又配婚 春宵錦帳繡芙蓉 屬牛女性為君婦 家室吉祥百福臻
2716 大運經行乙丑宮 妝台蘭閣笑春風 庭園花草皆爭發 十載安詳順遂同
2717 命定丑宮文業奇 風雲須得遇明時 子年垣入文昌宿 丹桂高攀第一枝
2718 金風吹動菊花香 葉落梧桐天更諒 閏九月生初六日 悠悠風雨又重陽
2721 二千七百主分離 陰煞相逢水上池 慈母屬羊先別世 屬牛嚴滏保昌期
2722 鴛鴦前世結良緣 妻室小君十四年 交泰乾坤賃數定 同心綰結並頭眠
2723 前房蘭蕙送離身 記取來途錦色新 妻氏佳人如願得 人間相愛更相親
2724 菊花吐艷入時鮮 籬下情思雖有天 生辰九月初七日 詳詳喜氣滿庭前
2725 三刻生人妻又妨 折鵲兼分比翼凰 數定前盟須早剋 屬牛再娶卜綿長
2726 丁丑運臨是美方 家庭和樂得安康 人在春風須自得 天孫裁錦繡文章
2727 立命丑宮遊有方 胸藏萬卷華生香 子科得遂鹿嗚志 一舉成名天下揚
2728 東籬未負菊花情 木葉秋山眼更明 閏九月生初七日 茱萸相獻慶天生
2731 武曲交乾半右凶 屬猴慈母壽先終 嚴椿堂上理家業 東海南山晚景豐
2732 月下老人前世姻 鴛鴦共枕又同衾 蘭房得意常歡樂 妻小二十零六春
2733 驚散鴛鴦背道馳 前妻半路見分離 洞房重又然紅燭 再配萬氏共齊眉
2734 定君生辰是何時 佳節重陽說未遲 生辰九月初八日 孤弓門外慶華滋
2735 孤鴛失偶聲不絕 獨自淚啼子規血 屬牛佳人再相配 注生四刻無差別
2736 己丑運行遇吉星 持家立業有精神 容光煥發菱花照 一笑媽然滿面春
2737 命立丑宮貴豈常 子年早遂姓名揚 一聲平地先聲顯 萬里風雲會帝王
2738 金風一掃碧山黃 雁過南樓鎮日忙 閏九月生初八日 堂前佳會慶賢郎
2741 二千七百細推詳 文曲遇乾入離房 嚴父屬牛遐齡壽 慈母屬雞必早亡
2742 八字純清不駁雜 遲婚必得良姻姬 欲問佳人多少歲 定要大妻三十八
2743 折散鴛盟真灌的 茫茫世道誠何意 遂心尚有續弦求 若問佳人必姓席
2744 雨洒菊花分外黃 生逢佳節是重陽 九月九日為初度 秋來傲骨出嚴霜
2745 五刻生人主剋妻 牡丹枝上有鵑啼 續弦再娶屬牛相 和好相兼福祿齊
2746 辛丑大運位北方 女命逢之百事強 家門吉慶多歡樂 逢凶化吉納禎祥
2747 命在丑宮官祿排 文明折桂午科諧 身逢御闕鹿嗚宴 新春錦衣遊六街
2748 寒菊新開黃又黃 季秋今又值重陽 閏九月生初九日 一生榮遏福相長
2751 紫微加睽不算強 六陽數內有悲傷 慈母屬狗先辭世 嚴父屬牛壽延長
2752 桃枝天天結成親 鴛鴦同枕不同春 前世絲羅今世配 妻大二歲緊相跟
2753 一對鴛鴦共枕衾 忽然分散念難忘 因緣已盡從新結 重配葛人才妥當
2754 雁過南樓念故鄉 金風昨日是重陽 生辰九月初十日 寒菊生成性傲霜
2755 時辰六刻主重婚 元配佳人難保存 再娶屬牛成佳偶 綿綿福相保長春
2756 去行癸丑遂心情 池上笙歌有笑聲 喜對菱花添粉黛 明明如月照分明
2757 命立丑宮福祿齊 胸中錦繡出珠午 科足展青雲志彩 捲相街入同鳳池
2758 季秋過後又重陽 寒菊籬這尚有芳 生辰閏九初十日 洗樽堂上樂遐康
2761 二千七百六逢乾 堂上雙親各有緣 母命屬豬先去世 屬牛嚴父意安然
2762 月下老人注有緣 鴛鴦匹配早關天 但求和合長偕老 妻大於君十四年
2763 二千七百井卦奇 注定前妻付別離 花燭重明弦再續 佳人裴氏最宜之
2764 丑時生命得安康 朝起身為田舍郎 春種秋收勤立業 五風十雨有餘糧
2765 同林鳥忽遇狂風 人面桃花不見蹤 七刻生人當再娶 屬牛繼配臥芙蓉
2766 丑時命定犯孤辰 離祖出家壓世塵 衣祿十方心自在 功夫參司究天人
2767 命立丑宮文學奇 滿胸書捲出珠璣 午科初見揚眉日 四海聲名遐邇知
2768 命定五行格局清 相人之術得分明 面掌兩般詳經驗 言來休咎自如神
2771 命宮代破在其身 夫主屬牛難久存 今世因緣前世定 無破必是兩姓人
2772 日支逢丑富豪身 早歲辛勤晚主榮 枯木逢春當再發 時來鈍鐵亦成金
2773 二千七百遇旅宮 妻命推來犯剋刑 元配已傷須再配 重逢寧氏喜春風
2774 命在丑時定得清 學成手藝有專精 一生衣祿隨時獲 早起遲眠也用心
2775 時辰八刻剋妻房 結髮佳人必早傷 重整蘭房花燭會 數中注定屬牛良
2776 三刻生人命不強 孤辰八字硬難當 離家別祖空門去 拋卻紅塵拜佛堂
2777 命中注定丑時生 赫赫聲名到帝京 金紫纏腰懸斗印 必然玉食享千重
2778 二千七百數中清 貴賤看人第一能 分野九洲詳氣色 五行部內定前程
2781 妻命屬牛定有妨 身有代破保安康 代破若無主兩姓 早年不遂晚年昌
2782 丑月生人心不閒 一衣一食亦艱難 家財雖有難長久 赤手從頭整舊竿
2783 赤繩繫足到瀛洲 怎奈賢妻隔海樓 二八盈盈今待字 陳姝相配幾生修
2784 五行數內定生平 理發修容手藝精 香水洗頭誼撲面 市場飲雀在神京
2785 命內三陰配一陽 妻宮剋去已成雙 三房始得安然好 晚景招來福壽長
2786 六命數注個空門 看經念佛志何勤 如來座下常參拜 不染紅塵一點心
2787 三刻生人祿萬鍾 平生汗馬立奇功 君常獨赴鷹揚宴 入虎擒蛟滿面紅
2788 女命生來清閒樂 念經拜佛真緣覺 能通神語療人病 度日逍遙稱快活
2811 太陽交逢屯卦詳 雙親難得兩風光 屬牛父相先遭剋 母命鼠庚福祿長
2812 月下老人配姻緣 數定夫君大二年 一枕鴛鴦常作伴 和嗚鷥鳳福長綿
2813 春早花開結子成 君身方且是孩童 新交十四麟兒育 克紹家風自不同
2814 上天寒歲暮去平 景色迷離正降生 生辰正是十一月 初六閣家含笑迎
2815 數中注定剋妻房 元配佳人必早亡 蘭房若欲同偕老 再娶屬鼠才妥當
2816 運交乙丑有紛爭 懶向妝台整玉容 世事漸從愁時過 且從平靜免虛驚
2817 乙丑去交官位宜 鳥銜丹詔出階墀 磨穿鐵硯初無負 留得聲名在帝畿
2818 二十五歲命去低 龍遊淺水被蝦欺 遂心此歲難逢有 枝上黃鶯不住啼
2821 二千八百遇否星 父母同是牛年生 嚴父數注先剋去 慈母堂上守孤燈
2822 共枕同衾陰配陽 荷花深處結成雙 夫宮必大十四歲 一民榮華壽且康
2823 花開結子產奇珍 相矢百年並蒂情 二十六歲生一子 箕裘剋紹慶麒麟
2824 隆冬數九正寒時 葭管飛灰撲面吹 生辰十一月初七 天生令德屬雲螭
2825 二千八百數中求 前室屬牛定不留 瑤琴再續同偕老 再娶佳人還屬牛
2826 丁丑運中不稱懷 是非口舌不時來 居家避免人爭競 且向庭前看落梅
2827 運交丁丑待宵征 跨鳳乘龍入帝城 閭門萬戶人爭羡 天注恩星祿顯榮
2828 君身廿六說流年 作事無成口舌連 命到此中多不利 不如小息待機緣
2831 二千八百經端詳 嚴父屬牛主先亡 注定數中無改變 萱堂屬虎保安康
2832 赤繩繫足結相思 配合因緣今世宜 夫君年長二十六 陽多陰少數同齊
2833 良緣金玉喜相親 桃李春風歲月新 三十八歲生一子 一枝丹桂祝長春
2834 數定先天南與北 生辰十一月初八 寒梅翠竹春光早 方向天根稱特還
2835 佳人元配屬牛妨 雲雨巫山枉斷腸 弦斷還須尋再配 生年屬虎作蘭房
2836 運行己丑事多乖 無限愁煩積滿懷 雨裡花枝看零落 中宵月影共徘徊
2837 己丑運程福祿兼 恰如紅日照中天 迭陞職位聲名顯 尚有佳音利大川
2838 神數推來定不移 定君廿七歲難支 謀為春夏皆無望 人到秋冬亦未宜
2841 咸卦變入恆卦宮 父命屬牛壽先終 母親屬兔成孀寒 辛苦家園事必躬
2842 八字生來並不差 鴛鴦交頸宿梅花 夫君年庚有多少 整整大你三十八
2843 向晚開花貴比金 人生一世最稱心 庭前丹桂新枝發 生子正交五十春
2844 梅梢月影照橫斜 朔雪連天望眼餘 生辰十月初九日 堂上雙親笑語華
2845 陰錯陽差不到頭 屬牛元配有離愁 蘭房花燭合歡見 屬兔佳人兔好求
2846 辛丑運交不遂心 家門到處悶沈沈 須防疾病兼財耗 有事人前莫亂嗔
2847 大運交至辛丑鄉 場中文祿總風光 前程錦繡從容去 語燕呢喃上防堂
2848 鳳花池上憶瓊林 獨有梅花伴雪吟 閏十一月初九日 堂前丹桂照森森
2851 歸妹變爻入一宮 父親牛相母庚龍 父先去世母康健 玉兔金鳥各有遲
2852 鴛鴦一枕訴相思 更著朝來試畫眉 必定夫君小二歲 白頭偕老壽相齊
2853 二六十月利求財 如意中兼外處來 得雨春苗踰秀發 乘船急浪帶潮開
2854 數九寒天雪滿樓 紛紛歸雁正淊留 生辰仲冬十一月 初十良辰天賜壽
2855 定君元配是屬牛 命犯羊刃必難留 弦斷如欲重接續 屬龍妙貌是良儔
2856 流轉運程到癸丑 災殃病厄隨時有 楹筠只作耐寒心 謹守此時可長久
2857 運交癸丑不等閒 前路平夷出萬山 政簡刑清民愛戴 心事浩然存兩間
2858 樹枝繁葉盡凋零 初綻梅花一線生 生辰潤是十一月 初十元胎已結成
2861 爻上乾坤定吉凶 雙親位上犯刑沖 屬牛嚴父歸仙早 慈母屬蛇一樹紅
2862 月老肖生已結歷 鴛鴦同枕不同春 夫君定小十四歲 和好相莊更愛親
2863 小運凶星值月臨 提防官訟到公門 最忌二六十月內 耗財晦氣有處驚
2864 欲知妻命何年生 數內屬牛注得清 太息牡丹難結子 妾生二子報君情
2865 鷥鳳雙雙兩和嗚 姻緣前定注初凶 屬牛結髮當離別 再娶佳人屬小龍
2866 八字行年值土星 官衙口舌莫相爭 提防出入小人害 道在崎嶇少遠行
2867 運行乙木是東方 大海風波難主張 胸中多少不明事 來歷尤宜著意防
2868 定君雙目有一傷 沖犯命身數過強 天道雖然教缺陷 尚留晚澤福星長
2871 移花接木兩邊香 月缺花殘夫又傷 數定剋夫當兩次 衣襟和淚夢難忘
2872 生逢丑月主享通 處世安然福祿增 富貴能全人羡慕 家門氣象更崢嶸
2873 小限流年遇吉星 二六十月喜相生 出外有家均順遂 抬頭巧囀聽黃鶯
2874 數中元配早難留 繼娶佳人亦又休 一再而三君莫恨 五房牛相可無憂
2875 漏夜三星伴月光 三妻房內正凝妝 羡君顧盼多如意 天命殊恩後福長
2876 數查二月犯官司 其中幸有貴人持 忍氣吞聲為上策 若交三月釋憂疑
2877 行運丑宮不順通 災殃疾厄在中逢 猶如花開遭雨打 又比揚帆遇逆風
2878 疾厄宮中白虎藏 水來剋火兩晴傷 先天定數休嗟怨 不有此傷主早亡
2881 時辰三刻配婚成 命主填房恩愛深 夫婦如魚偕水樂 月下閨中度百春
2882 命中注定必先貧 人海茫茫志未伸 莫謂陰陽徒幻渺 總知由命不由人
2883 流年遇變不為高 疾厄麻煩難躲逃 二六十月不順利 百般須忍莫心焦
2884 生成女命一枝紅 不好人前說下風 勤儉治家留淑譽 晚年衣祿更豐享
2885 青松翠竹影猗猗 妻妾宮中數甚奇 一樣蘭房皆內寵 先天注定有三妻
2886 二千八百細推詳 丹桂庭前正有香 造化數中稱壽祿 知君一定不平常
2887 丑月生人家世榮 田園茂盛享餘盈 定君命上前程有 不登科甲亦揚名
2888 女命丑時亦自佳 筠松相伴玉蓮花 夫宮配合因緣定 側室棲身發嫩芽
